
*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[SPARSE] Conv backend: flex_gemm; Attention backend: flash_attn
[SPARSE] Conv backend: flex_gemm; Attention backend: flash_attn
[SPARSE] Conv backend: flex_gemm; Attention backend: flash_attn
[ATTENTION] Using backend: flash_attn
[ATTENTION] Using backend: flash_attn
[ATTENTION] Using backend: flash_attn
Loaded SLat 512 weights from /mnt/cpfs/yurh/TRELLIS.2-4B/ckpts/slat_flow_img2shape_dit_1_3B_512_bf16.safetensors
Loaded SLat 512 weights from /mnt/cpfs/yurh/TRELLIS.2-4B/ckpts/slat_flow_img2shape_dit_1_3B_512_bf16.safetensors
Loaded SLat 512 weights from /mnt/cpfs/yurh/TRELLIS.2-4B/ckpts/slat_flow_img2shape_dit_1_3B_512_bf16.safetensors
DualPartSLatModel (512, cross_attn from block 29): 1603M total, 311M trainable
DualPartSLatModel (512, cross_attn from block 29): 1603M total, 311M trainable
DualPartSLatModel (512, cross_attn from block 29): 1603M total, 311M trainable
[Dataset] 2250 samples

=== Progressive SLat Refiner Training ===
  GPUs: 3, Data: 2250 samples
  Trainable: 311M / 1603M
  Steps: 20000, LR: 0.0001
  Progressive: block 29→15, expand every 500 steps
  Output: /mnt/data_ssd/infinigen-sim/slat_progressive_full

  [2760/20000] loss=0.3015 lr=1.00e-04 active=6 | 1.61 it/s ETA 178m
  [2780/20000] loss=0.1671 lr=1.00e-04 active=6 | 1.61 it/s ETA 178m
  [2800/20000] loss=0.3267 lr=1.00e-04 active=6 | 1.61 it/s ETA 178m
  [2820/20000] loss=0.3285 lr=1.00e-04 active=6 | 1.61 it/s ETA 178m
  [2840/20000] loss=0.2566 lr=1.00e-04 active=6 | 1.61 it/s ETA 178m
  [2860/20000] loss=0.2665 lr=1.00e-04 active=6 | 1.61 it/s ETA 178m
  [2880/20000] loss=0.3187 lr=1.00e-04 active=6 | 1.61 it/s ETA 177m
  [2900/20000] loss=0.2953 lr=1.00e-04 active=6 | 1.61 it/s ETA 177m
  [2920/20000] loss=0.1903 lr=1.00e-04 active=6 | 1.61 it/s ETA 177m
  [2940/20000] loss=0.2317 lr=1.00e-04 active=6 | 1.61 it/s ETA 177m
  [2960/20000] loss=0.3740 lr=1.00e-04 active=6 | 1.61 it/s ETA 177m
  [2980/20000] loss=0.2679 lr=1.00e-04 active=6 | 1.61 it/s ETA 177m
  [3000/20000] loss=0.3567 lr=1.00e-04 active=6 | 1.61 it/s ETA 176m

  >>> Step 3000: expanded to 7 cross-attn layers (blocks 23-29)

  [3020/20000] loss=0.2254 lr=1.00e-04 active=7 | 1.61 it/s ETA 176m
  [3040/20000] loss=0.4319 lr=1.00e-04 active=7 | 1.61 it/s ETA 176m
  [3060/20000] loss=0.2134 lr=1.00e-04 active=7 | 1.60 it/s ETA 176m
  [3080/20000] loss=0.2855 lr=1.00e-04 active=7 | 1.60 it/s ETA 176m
  [3100/20000] loss=0.3301 lr=1.00e-04 active=7 | 1.60 it/s ETA 176m
  [3120/20000] loss=0.2756 lr=1.00e-04 active=7 | 1.60 it/s ETA 175m
  [3140/20000] loss=0.2719 lr=1.00e-04 active=7 | 1.60 it/s ETA 175m
